length, width, pattern, capture, instantiation, first_launch_api, first_launch_total, repeat_launch_api, repeat_launch_total, first_launch_device, blockingKernelTimeoutDetected, repeat_launch_device, blockingKernelTimeoutDetected, upload_api_time, updoad_device_time, blockingKernelTimeoutDetected, 
13, 1, 0, 8.135, 20.680, 1.648, 31.485, 1.809, 27.427, 25.600, 0.000, 24.959, 0.000, 0.117, 19.360, 0.000, 
13, 1, 0, 8.166, 22.131, 1.791, 31.307, 1.843, 27.362, 25.600, 0.000, 24.960, 0.000, 0.121, 18.720, 0.000, 
13, 1, 0, 8.200, 21.953, 2.000, 31.731, 1.759, 27.141, 25.919, 0.000, 24.800, 0.000, 0.121, 18.880, 0.000, 
13, 1, 0, 8.151, 20.246, 1.760, 31.601, 1.674, 27.055, 25.600, 0.000, 24.960, 0.000, 0.135, 19.840, 0.000, 
14, 1, 0, 8.837, 24.408, 1.428, 32.880, 1.961, 28.874, 26.880, 0.000, 26.240, 0.000, 0.151, 18.400, 0.000, 
14, 1, 0, 9.050, 23.634, 1.605, 32.558, 2.100, 30.258, 27.040, 0.000, 26.559, 0.000, 0.139, 18.720, 0.000, 
14, 1, 0, 9.088, 23.452, 1.571, 32.698, 1.966, 29.020, 27.040, 0.000, 25.920, 0.000, 0.109, 18.560, 0.000, 
14, 1, 0, 8.980, 22.850, 1.467, 32.672, 2.062, 29.186, 27.040, 0.000, 26.400, 0.000, 0.130, 20.480, 0.000, 
14, 1, 0, 8.933, 23.646, 1.691, 32.832, 1.918, 28.752, 26.720, 0.000, 26.400, 0.000, 0.181, 20.480, 0.000, 
14, 1, 0, 8.860, 22.140, 1.419, 32.709, 2.229, 29.205, 26.880, 0.000, 26.400, 0.000, 0.116, 19.839, 0.000, 
14, 1, 0, 9.044, 25.231, 1.958, 32.836, 1.712, 28.789, 27.039, 0.000, 26.880, 0.000, 0.130, 19.200, 0.000, 
14, 1, 0, 8.845, 21.437, 1.501, 32.782, 1.989, 28.947, 27.040, 0.000, 26.240, 0.000, 0.176, 19.040, 0.000, 
14, 1, 0, 8.999, 24.301, 1.782, 32.822, 1.744, 28.739, 26.880, 0.000, 26.400, 0.000, 0.131, 19.040, 0.000, 
14, 1, 0, 8.682, 21.974, 1.686, 32.926, 2.137, 29.489, 26.880, 0.000, 26.400, 0.000, 0.128, 20.000, 0.000, 
15, 1, 0, 9.898, 25.307, 1.900, 34.238, 2.086, 30.614, 28.320, 0.000, 27.520, 0.000, 0.149, 18.400, 0.000, 
15, 1, 0, 9.620, 26.009, 1.607, 34.195, 1.661, 30.148, 28.000, 0.000, 27.520, 0.000, 0.120, 20.160, 0.000, 
15, 1, 0, 9.393, 24.463, 2.061, 34.934, 1.907, 30.486, 28.159, 0.000, 27.520, 0.000, 0.134, 18.880, 0.000, 
15, 1, 0, 9.255, 24.559, 1.480, 34.076, 2.149, 30.395, 28.158, 0.000, 27.520, 0.000, 0.111, 18.880, 0.000, 
15, 1, 0, 9.543, 23.313, 1.682, 34.210, 1.837, 30.313, 28.160, 0.000, 27.520, 0.000, 0.125, 18.400, 0.000, 
