length, width, pattern, capture, instantiation, first_launch_api, first_launch_total, repeat_launch_api, repeat_launch_total, first_launch_device, blockingKernelTimeoutDetected, repeat_launch_device, blockingKernelTimeoutDetected, upload_api_time, updoad_device_time, blockingKernelTimeoutDetected, 
12, 4, 0, 33.663, 3410.891, 11.170, 42.212, 4.875, 39.815, 37.280, 0.000, 39.200, 0.000, 0.701, 7.840, 0.000, 
12, 4, 0, 32.870, 3385.729, 11.066, 43.412, 4.987, 38.111, 36.800, 0.000, 38.400, 0.000, 0.585, 8.000, 0.000, 
12, 4, 0, 33.189, 3394.485, 11.053, 43.008, 5.226, 39.356, 37.120, 0.000, 37.120, 0.000, 0.528, 8.640, 0.000, 
12, 4, 0, 33.471, 3401.745, 11.915, 42.399, 4.998, 39.419, 38.240, 0.000, 37.280, 0.000, 0.526, 8.800, 0.000, 
13, 4, 0, 34.851, 3397.548, 11.075, 44.098, 5.182, 39.549, 38.560, 0.000, 39.040, 0.000, 0.658, 8.640, 0.000, 
13, 4, 0, 35.823, 3400.438, 11.746, 44.057, 5.149, 40.216, 39.039, 0.000, 38.560, 0.000, 0.725, 9.280, 0.000, 
13, 4, 0, 34.963, 3412.822, 11.323, 44.591, 4.813, 39.748, 39.518, 0.000, 39.680, 0.000, 0.657, 8.480, 0.000, 
13, 4, 0, 35.150, 3400.365, 10.702, 43.272, 4.988, 39.664, 39.200, 0.000, 39.040, 0.000, 0.699, 9.120, 0.000, 
13, 4, 0, 35.950, 3402.018, 11.555, 44.902, 5.383, 41.818, 37.760, 0.000, 40.000, 0.000, 0.638, 8.960, 0.000, 
13, 4, 0, 34.677, 3400.972, 11.124, 43.235, 6.626, 41.344, 39.520, 0.000, 37.920, 0.000, 0.670, 9.280, 0.000, 
13, 4, 0, 35.307, 3421.369, 10.579, 44.987, 5.387, 39.940, 38.720, 0.000, 40.640, 0.000, 0.695, 8.160, 0.000, 
13, 4, 0, 35.914, 3427.780, 12.344, 45.451, 4.985, 39.955, 38.880, 0.000, 38.720, 0.000, 0.535, 8.480, 0.000, 
13, 4, 0, 34.908, 3423.876, 10.603, 44.394, 5.293, 39.889, 40.160, 0.000, 39.680, 0.000, 0.690, 8.960, 0.000, 
13, 4, 0, 36.048, 3395.676, 11.047, 44.327, 4.892, 40.515, 39.360, 0.000, 38.400, 0.000, 0.613, 8.960, 0.000, 
14, 4, 0, 37.676, 3419.521, 10.606, 44.771, 5.079, 41.118, 40.320, 0.000, 40.320, 0.000, 0.612, 8.800, 0.000, 
14, 4, 0, 37.398, 3401.062, 10.170, 44.633, 5.052, 42.444, 40.960, 0.000, 39.840, 0.000, 0.613, 8.960, 0.000, 
14, 4, 0, 37.996, 3407.887, 11.285, 44.359, 4.974, 42.195, 43.200, 0.000, 40.320, 0.000, 0.687, 8.320, 0.000, 
14, 4, 0, 37.339, 3408.076, 10.857, 45.416, 4.854, 41.726, 40.000, 0.000, 41.600, 0.000, 0.522, 8.320, 0.000, 
14, 4, 0, 37.101, 3421.416, 10.274, 45.120, 4.820, 42.517, 41.440, 0.000, 42.240, 0.000, 0.643, 8.640, 0.000, 
14, 4, 0, 37.538, 3425.362, 11.266, 45.014, 5.147, 43.634, 40.318, 0.000, 41.280, 0.000, 0.535, 8.800, 0.000, 
14, 4, 0, 37.152, 3420.575, 11.968, 45.459, 4.580, 42.016, 40.960, 0.000, 40.160, 0.000, 0.681, 8.960, 0.000, 
14, 4, 0, 38.231, 3399.758, 11.312, 44.893, 4.934, 41.170, 41.280, 0.000, 40.479, 0.000, 0.676, 7.840, 0.000, 
14, 4, 0, 37.834, 3409.131, 11.284, 45.128, 5.048, 41.452, 41.440, 0.000, 40.640, 0.000, 0.671, 8.800, 0.000, 
14, 4, 0, 36.990, 3403.803, 11.385, 45.293, 4.791, 41.939, 39.680, 0.000, 42.239, 0.000, 0.720, 8.800, 0.000, 
15, 4, 0, 40.451, 3432.294, 12.297, 49.006, 4.701, 43.667, 42.560, 0.000, 41.440, 0.000, 0.660, 8.640, 0.000, 
15, 4, 0, 39.125, 3408.479, 11.014, 47.761, 5.240, 44.129, 42.079, 0.000, 42.080, 0.000, 0.710, 8.800, 0.000, 
15, 4, 0, 39.461, 3434.874, 11.109, 47.546, 4.906, 43.256, 43.040, 0.000, 41.920, 0.000, 0.695, 8.480, 0.000, 
15, 4, 0, 38.982, 3446.021, 11.590, 68.419, 9.161, 47.029, 69.440, 0.000, 43.360, 0.000, 0.636, 8.640, 0.000, 
15, 4, 0, 40.364, 3453.670, 12.361, 68.174, 5.033, 43.942, 49.120, 0.000, 40.960, 0.000, 0.634, 8.480, 0.000, 
15, 4, 0, 39.771, 3461.948, 11.072, 67.654, 5.007, 44.411, 49.280, 0.000, 41.439, 0.000, 0.683, 8.640, 0.000, 
15, 4, 0, 39.871, 3462.946, 11.163, 66.986, 9.763, 69.405, 42.720, 0.000, 42.720, 0.000, 0.598, 8.160, 0.000, 
15, 4, 0, 39.290, 3499.835, 13.856, 48.254, 5.227, 42.867, 42.560, 0.000, 41.760, 0.000, 0.666, 8.640, 0.000, 
15, 4, 0, 39.418, 3425.224, 11.435, 47.188, 4.703, 42.298, 42.238, 0.000, 41.760, 0.000, 0.614, 9.120, 0.000, 
