length, width, pattern, capture, instantiation, first_launch_api, first_launch_total, repeat_launch_api, repeat_launch_total, first_launch_device, blockingKernelTimeoutDetected, repeat_launch_device, blockingKernelTimeoutDetected, upload_api_time, upload_device_time, blockingKernelTimeoutDetected, 
7, 1, 0, 5.562, 8.984, 4.790, 15.121, 2.391, 10.870, 9.056, 0.000, 7.552, 0.000, 3.758, 5.600, 0.000, 
7, 1, 0, 5.563, 8.932, 4.186, 14.372, 2.730, 11.276, 8.960, 0.000, 7.712, 0.000, 3.653, 6.144, 0.000, 
8, 1, 0, 6.145, 12.652, 5.007, 16.535, 2.626, 11.598, 9.952, 0.000, 8.352, 0.000, 3.988, 6.976, 0.000, 
8, 1, 0, 6.358, 10.026, 4.476, 15.651, 2.461, 11.467, 10.016, 0.000, 8.416, 0.000, 4.350, 6.816, 0.000, 
8, 1, 0, 6.173, 9.719, 4.296, 16.065, 2.437, 11.720, 9.952, 0.000, 8.384, 0.000, 4.185, 6.592, 0.000, 
8, 1, 0, 6.284, 9.775, 4.136, 15.399, 2.488, 11.504, 10.048, 0.000, 8.448, 0.000, 4.378, 6.592, 0.000, 
8, 1, 0, 6.371, 9.999, 3.920, 15.117, 2.580, 11.705, 10.048, 0.000, 8.448, 0.000, 4.665, 6.272, 0.000, 
8, 1, 0, 6.295, 9.772, 4.286, 15.584, 2.597, 11.632, 9.952, 0.000, 8.320, 0.000, 4.099, 6.688, 0.000, 
8, 1, 0, 6.161, 9.812, 4.198, 15.702, 2.489, 11.466, 9.888, 0.000, 8.448, 0.000, 3.836, 6.560, 0.000, 
8, 1, 0, 6.650, 14.432, 4.454, 15.784, 2.694, 11.717, 9.920, 0.000, 8.384, 0.000, 4.246, 6.912, 0.000, 
8, 1, 0, 6.207, 9.625, 4.500, 15.554, 2.597, 11.560, 9.952, 0.000, 8.352, 0.000, 4.166, 6.112, 0.000, 
8, 1, 0, 6.155, 9.766, 4.113, 15.249, 2.881, 11.904, 10.048, 0.000, 8.448, 0.000, 4.253, 6.144, 0.000, 
