length, width, pattern, capture, instantiation, first_launch_api, first_launch_total, repeat_launch_api, repeat_launch_total, first_launch_device, blockingKernelTimeoutDetected, repeat_launch_device, blockingKernelTimeoutDetected, upload_api_time, upload_device_time, blockingKernelTimeoutDetected, 
17, 4, 0, 44.984, 56.852, 22.022, 48.627, 4.865, 32.666, 37.792, 0.000, 27.424, 0.000, 21.512, 1.824, 0.000, 
17, 4, 0, 44.294, 57.164, 22.780, 49.488, 4.911, 32.610, 37.440, 0.000, 27.040, 0.000, 21.748, 1.792, 0.000, 
17, 4, 0, 44.256, 56.919, 21.483, 47.736, 5.251, 33.189, 37.920, 0.000, 26.912, 0.000, 21.224, 1.792, 0.000, 
17, 4, 0, 44.708, 57.920, 21.004, 47.492, 5.058, 32.640, 35.744, 0.000, 26.752, 0.000, 20.734, 1.792, 0.000, 
17, 4, 0, 44.031, 57.216, 20.910, 48.372, 5.411, 32.194, 36.704, 0.000, 27.168, 0.000, 20.790, 1.984, 0.000, 
17, 4, 0, 44.001, 56.984, 22.563, 50.216, 5.427, 33.148, 39.744, 0.000, 26.816, 0.000, 20.474, 1.824, 0.000, 
17, 4, 0, 44.009, 56.790, 21.344, 48.175, 5.166, 32.994, 38.336, 0.000, 26.880, 0.000, 21.158, 2.144, 0.000, 
17, 4, 0, 44.077, 75.614, 21.978, 48.780, 5.328, 33.395, 39.456, 0.000, 27.008, 0.000, 21.767, 1.888, 0.000, 
17, 4, 0, 44.230, 56.639, 21.608, 48.555, 5.078, 31.973, 37.056, 0.000, 26.976, 0.000, 20.754, 1.792, 0.000, 
18, 4, 0, 46.363, 71.408, 22.971, 50.876, 4.882, 33.948, 39.776, 0.000, 28.256, 0.000, 22.254, 1.856, 0.000, 
18, 4, 0, 46.550, 60.907, 22.127, 50.795, 5.108, 33.934, 39.200, 0.000, 28.224, 0.000, 22.083, 1.792, 0.000, 
18, 4, 0, 46.842, 61.523, 23.271, 50.575, 4.938, 33.801, 41.088, 0.000, 28.256, 0.000, 22.403, 1.824, 0.000, 
18, 4, 0, 46.761, 60.141, 22.568, 51.054, 5.158, 33.700, 40.160, 0.000, 28.480, 0.000, 22.330, 1.792, 0.000, 
18, 4, 0, 46.512, 60.491, 22.764, 51.401, 5.433, 34.131, 42.560, 0.000, 28.288, 0.000, 22.956, 1.792, 0.000, 
18, 4, 0, 44.728, 60.348, 22.441, 51.084, 5.074, 33.519, 39.136, 0.000, 29.120, 0.000, 21.512, 1.824, 0.000, 
18, 4, 0, 46.439, 60.330, 22.529, 50.547, 4.958, 34.322, 39.584, 0.000, 28.736, 0.000, 23.251, 1.792, 0.000, 
18, 4, 0, 46.758, 60.874, 22.695, 50.963, 5.148, 33.533, 39.648, 0.000, 27.808, 0.000, 22.109, 1.888, 0.000, 
18, 4, 0, 51.080, 61.317, 23.591, 51.501, 4.865, 34.035, 38.080, 0.000, 28.448, 0.000, 21.936, 1.920, 0.000, 
