length, width, pattern, capture, instantiation, first_launch_api, first_launch_total, repeat_launch_api, repeat_launch_total, first_launch_device, blockingKernelTimeoutDetected, repeat_launch_device, blockingKernelTimeoutDetected, upload_api_time, updoad_device_time, blockingKernelTimeoutDetected, 
11, 1, 0, 3.637, 16.531, 9.027, 34.425, 3.787, 27.682, 25.487, 0.000, 25.007, 0.000, 0.060, 10.701, 0.000, 
11, 1, 0, 3.586, 16.071, 4.278, 30.116, 3.798, 27.703, 25.488, 0.000, 24.847, 0.000, 0.080, 10.900, 0.000, 
11, 1, 0, 3.637, 15.710, 9.638, 35.517, 12.183, 36.869, 25.167, 0.000, 24.846, 0.000, 0.060, 11.141, 0.000, 
11, 1, 0, 3.556, 15.079, 10.690, 36.318, 12.413, 36.899, 25.368, 0.000, 24.887, 0.000, 0.060, 10.821, 0.000, 
11, 1, 0, 3.717, 15.118, 9.177, 35.056, 12.123, 36.849, 25.729, 0.000, 25.087, 0.000, 0.060, 11.101, 0.000, 
11, 1, 0, 3.376, 15.049, 9.257, 35.146, 12.002, 36.348, 25.367, 0.000, 24.846, 0.000, 0.061, 11.422, 0.000, 
11, 1, 0, 3.577, 15.289, 10.389, 36.228, 12.594, 36.919, 25.768, 0.000, 24.887, 0.000, 0.220, 11.181, 0.000, 
11, 1, 0, 4.288, 15.529, 8.777, 34.455, 3.747, 27.692, 25.528, 0.000, 24.967, 0.000, 0.060, 10.980, 0.000, 
11, 1, 0, 3.848, 15.228, 8.877, 34.485, 12.454, 37.290, 25.248, 0.000, 25.007, 0.000, 0.060, 10.740, 0.000, 
12, 1, 0, 3.968, 16.260, 8.786, 36.077, 10.881, 36.599, 27.091, 0.000, 26.530, 0.000, 0.060, 11.181, 0.000, 
12, 1, 0, 4.158, 17.372, 16.091, 44.183, 9.889, 36.068, 27.091, 0.000, 26.690, 0.000, 0.080, 11.141, 0.000, 
12, 1, 0, 3.888, 16.080, 8.766, 39.284, 7.414, 33.603, 26.971, 0.000, 26.570, 0.000, 0.070, 11.341, 0.000, 
12, 1, 0, 3.938, 16.731, 10.830, 36.078, 3.707, 29.305, 27.131, 0.000, 26.770, 0.000, 0.141, 10.780, 0.000, 
12, 1, 0, 4.438, 16.751, 8.857, 35.677, 3.827, 29.686, 27.412, 0.000, 26.730, 0.000, 0.060, 10.740, 0.000, 
12, 1, 0, 3.857, 16.922, 8.977, 36.338, 10.519, 36.658, 26.971, 0.000, 26.971, 0.000, 0.070, 11.301, 0.000, 
12, 1, 0, 3.848, 16.641, 4.528, 31.579, 11.061, 37.020, 27.091, 0.000, 26.490, 0.000, 0.060, 10.781, 0.000, 
12, 1, 0, 4.068, 16.952, 8.857, 36.078, 3.717, 29.155, 26.971, 0.000, 26.850, 0.000, 0.060, 10.940, 0.000, 
12, 1, 0, 3.767, 16.140, 8.817, 36.038, 3.897, 29.015, 27.131, 0.000, 27.051, 0.000, 0.060, 10.981, 0.000, 
12, 1, 0, 3.877, 16.010, 8.777, 36.118, 10.670, 36.849, 26.931, 0.000, 27.051, 0.000, 0.080, 10.741, 0.000, 
13, 1, 0, 4.058, 17.573, 8.957, 38.182, 4.118, 30.978, 28.334, 0.000, 28.133, 0.000, 0.061, 11.061, 0.000, 
13, 1, 0, 4.138, 16.882, 9.117, 37.941, 4.368, 31.109, 28.694, 0.000, 28.373, 0.000, 0.060, 11.021, 0.000, 
13, 1, 0, 4.128, 17.102, 8.596, 37.861, 8.526, 44.794, 28.774, 0.000, 28.053, 0.000, 0.060, 10.860, 0.000, 
13, 1, 0, 4.018, 16.441, 8.696, 37.530, 9.017, 36.960, 29.055, 0.000, 28.173, 0.000, 0.060, 10.940, 0.000, 
13, 1, 0, 4.038, 16.591, 8.807, 37.601, 4.478, 30.948, 28.333, 0.000, 28.454, 0.000, 0.070, 10.620, 0.000, 
13, 1, 0, 4.038, 16.431, 12.714, 41.488, 9.257, 36.879, 28.974, 0.000, 28.133, 0.000, 0.061, 10.539, 0.000, 
13, 1, 0, 4.017, 16.371, 8.606, 37.771, 8.877, 36.699, 28.694, 0.000, 28.133, 0.000, 0.060, 10.700, 0.000, 
13, 1, 0, 4.088, 16.631, 8.767, 37.621, 4.318, 31.329, 28.293, 0.000, 28.654, 0.000, 0.080, 10.821, 0.000, 
13, 1, 0, 4.187, 16.691, 8.917, 37.671, 3.837, 30.477, 28.654, 0.000, 28.052, 0.000, 0.060, 10.941, 0.000, 
13, 1, 0, 4.198, 16.601, 8.806, 37.891, 3.857, 31.049, 28.453, 0.000, 28.734, 0.000, 0.060, 10.861, 0.000, 
14, 1, 0, 4.328, 19.546, 21.410, 65.633, 12.293, 41.829, 30.016, 0.000, 30.096, 0.000, 0.060, 11.101, 0.000, 
